sNo,epsiodeNumber,episodeName,quote
1,NA,NA,"Rachel: See? Unisex.

Joey: Maybe *you* need sex. I just had it a few days ago.

Rachel: No, Joey, U-N-I-sex.

Joey: I wouldn't say no to that.

"
2,NA,NA,"Chandler: I'm not so good with the advice... Can I interest you in a sarcastic comment?

"
3,NA,NA,"[Joey has packed an emergency kit with food, Mad-Libs and condoms]

Chandler: Condoms?

Joey: We don't know how long we're gonna be stuck here. We might have to repopulate the world.

Chandler: And condoms are the way to do that?

"
4,NA,NA,"[repeated line]

Joey Tribbiani: How you doin'?

"
5,NA,NA,"Joey: Rach, you gotta find out if he's in the same place you are. Otherwise, it's just a moo point.

Rachel: A moo point?

Joey: Yeah. It's like a cow's opinion. It just doesn't matter. It's moo.

Rachel: Have I been living with him too long or did that all just make sense?

"
6,NA,NA,"[Monica knocks]

Chandler: You can't come in.

Monica: Why not?

Chandler: Because, uh, Ross is naked.

Ross: What?

Chandler: Well, I couldn't tell her *I* was naked. She's allowed to see me naked.

Ross: Why does *anyone* have to be naked?

"
7,NA,NA,"Phoebe: Look, I had a hard life. My mother was killed by a drug dealer.

Monica: Phoebe, your mom killed herself.

Phoebe: She was a drug dealer.

"
8,NA,NA,"Chandler: I can handle this. ""Handle"" is my middle name. Actually, ""handle"" is the middle of my first name.

"
9,NA,NA,"Rachel: You know, Ben, I was your daddy's girlfriend.

Ben: But you're not anymore. Because you were on a break.

"
10,NA,NA,"[Ross is trying to talk Rachel's boss into giving her her job back so she won't go to Paris; Mr. Zelner has a son who is also named Ross]

Ross: Does little Ross like dinosaurs by any chance?

Mr. Zelner: Yeah, they're all he talks about, why?

Ross: How would he like to come with me to the Museum of Natural History after everyone else has left, just the two of us, and he can touch anything he wants.

[Mr. Zelner looks shocked]

Ross: I just heard it as you must have heard it and that's not good. Let me start again. I'm a paleontologist, you'll be there with us and the touching refers only to bones - fossils!

"
11,NA,NA,"Ross: What are you doing tonight?

Chandler: Why, do you have a lecture?

Ross: No.

Chandler: Free as a bird, what's up?

"
12,NA,NA,"[repeated line]

Ross: We were on a break!

"
13,NA,NA,"Monica: Now come on, Chandler, the Miami Vice soundtrack? Really?

Chandler: They were just giving it away at the mall...

[Monica stares]

Chandler: ...in exchange for money.

"
14,NA,NA,"Rachel: Can you take care of Emma just for today?

Ross: Sure, just lend me your breasts and we'll be on our way.

"
15,NA,NA,"Chandler: I got her machine.

Joey: Her answering machine?

Chandler: No. Interestingly enough, her leaf blower picked up.

"
16,NA,NA,"[Ross defends his fast eating habits to Rachel]

Ross: I grew up in a house with Monica, okay. If you didn't eat fast, you didn't eat.

"
17,NA,NA,"Chandler: [to Ross] Three failed marriages, two illegitimate children... The personal ad writes itself.

"
18,NA,NA,"[after hearing about Chandlers breakup with Janice]

Phoebe: Where's Chandler?

Joey: He's grieving.

[We see Chandler running outside]

Chandler: I'M FREE. I AM FREE.

"
19,NA,NA,"Monica: You wanted it to be a surprise.

Chandler: Oh, my God.

Monica: Chandler, in all my life I never thought I would be so lucky as to fall in love with my best, my best...

[crying]

Monica: There's a reason why girls don't do this.

Chandler: Okay, okay I'll do it. I thought, wait I can do this, I thought that it mattered what I said or where I said it. Then I realized the only thing that matters is that you, that you make me happier than I ever thought I could be and if you let me I will spend the rest of my life trying to make you feel the same way. Monica, will you marry me?

Monica: Yes.

"
20,NA,NA,"Phoebe: [Right after playing a song in the coffee shop] If you want to receive e-mails about my upcoming shows, then please give me money so I can buy a computer.

"
21,NA,NA,"Joey: I can't believe Ross is going out with Rachel's sister. Ya know, when Chandler made out with my sister, I was mad at him for, like, ten years.

Chandler: That was five years ago.

Joey: I know. You got five more years.

Chandler: Joey...

Joey: You want to make it six?

"
22,NA,NA,"Ross: First divorce: wife's hidden sexuality, not my fault. Second divorce: said the wrong name at the altar, kind of my fault. Third divorce: they shouldn't let you get married when you're that drunk and have stuff drawn all over your face, Nevada's fault.

"
23,NA,NA,"Monica: I think I'd be great in a war. I'd, like, get all the medals.

Chandler: Before or after you're executed by your own troops?

"
24,NA,NA,"Joey: So, what, you just want to stay here and wait for Rachel to come back from her date?

Ross: Yeah. I mean, this guy could be my baby's stepfather.

Joey: They go out on one date and you worry about her marrying him? He's not you.

"
25,NA,NA,"[Joey just got ordained via the internet so that he could perform Monica and Chandler's wedding]

Joey: Hey, I started working on what I'm going to say at the ceremony. Wanna hear it?

Monica, Chandler: Yeah.

Joey: We are gathered here today on this joyous occasion to celebrate the special love that Monica and Chandler share.

[Monica and Chandler look impressed]

Joey: It is a love based of giving and receiving as well as having and sharing. And the love that they give and have is shared and received. And through this having and giving and sharing and receiving, we too can share and love and have... and receive.

[later]

Joey: Okay, you guys, I've got a little more written... are you ready?

Chandler: Yeah, yeah. Okay.

Joey: When I think of the love that these two givers and receivers share, I cannot help but envy the lifetime ahead of having and loving and giving... and then I can't think of a good word for right here.

Monica: How bout receiving?

Joey: Yes!

"
26,NA,NA,"[Joey is posing as a doctor in order to get information about a patient that Phoebe likes]

[Just been told the patients date of birth]

Joey: Age...?

Patient: Can't you work that out by my date of birth?

Joey: I'm a doctor, not a mathematician.

"
27,NA,NA,"Monica: Guys can fake it? Unbelievable! The one thing that's ours!

"
28,NA,NA,"Joey: Oh, I'm sorry. Did I get you?

Chandler: It's an electric drill! You get me, you kill me!

"
29,NA,NA,"Chandler: We're getting a house.

Monica: We're getting a baby.

Chandler: We're growing up.

Monica: We sure are.

Chandler: So who's going to tell them?

Monica: Not it.

Chandler: Not it. Damn it!

"
30,NA,NA,"Monica: I'm Rachel. I love Ross. I hate Ross. I love Ross. I hate Ross.

Rachel: I'm Monica. I can't get a boyfriend so I'll stumble across the hall and sleep with the first guy I find there.

"
31,NA,NA,"Janice: [repeated line throughout the series] Oh... my... God!

"
32,NA,NA,"Rachel: I don't want my baby's first words to be ""How You Doing""

"
33,NA,NA,"Janice: [Janice walks downstairs and finds Monica and Chandler looking at her house] What a small world!

Chandler: ...And yet, I never run into Beyonce.

"
